Unnamed: 0,model_name,frozen_proportion,learning_rate,val_auc,val_accuracy,val_loss,val_precision
,ViT,0.4365932219581031,1.3121840790681009e-05,"[0.9312332272529602, 0.947710394859314, 0.9609322547912598, 0.9594465494155884, 0.9781749844551086, 0.98648601770401, 0.9572480320930481, 0.9809199571609497, 0.9694477319717407]","[0.8117677569389343, 0.8280395865440369, 0.8555063605308533, 0.8497787117958069, 0.8948190808296204, 0.9196823835372925, 0.8492580056190491, 0.9194220304489136, 0.8854464888572693]","[0.5287465453147888, 0.4599390923976898, 0.3953073024749756, 0.4071531891822815, 0.29251205921173096, 0.22987084090709686, 0.4256925582885742, 0.2702876627445221, 0.3671914041042328]","[0.8493189811706543, 0.8558993935585022, 0.8868370056152344, 0.868495762348175, 0.9059795141220093, 0.9255752563476562, 0.8662720322608948, 0.9231072664260864, 0.8905302286148071]"
,ViT,0.6570511245341636,0.0002432150722011,"[0.8724504113197327, 0.8904829621315002, 0.9404199719429016, 0.89341139793396, 0.9184216856956482, 0.9674779176712036, 0.9495711326599121, 0.8984881043434143, 0.9500876069068909]","[0.7052850723266602, 0.7434262037277222, 0.8260869383811951, 0.7455089688301086, 0.7736266851425171, 0.854855477809906, 0.8031762838363647, 0.7474616169929504, 0.8223118782043457]","[0.7649015784263611, 0.7423536777496338, 0.5211923122406006, 0.7431049346923828, 0.6658980250358582, 0.3858082592487335, 0.5174387693405151, 0.8825141191482544, 0.5023831725120544]","[0.7835994362831116, 0.7812635898590088, 0.8553799390792847, 0.7803148627281189, 0.7956677675247192, 0.8692854046821594, 0.8209359049797058, 0.7559866309165955, 0.8344531059265137]"
,ViT,0.6570511245341636,0.0002432150722011,"[0.9140920042991638, 0.9877166748046875, 0.45236462354660034, 0.9782607555389404, 0.9505541324615479]","[0.8083832263946533, 0.9174693822860718, 0.2116636335849762, 0.8902629613876343, 0.8489976525306702]","[0.6067207455635071, 0.22777289152145386, 1.752447247505188, 0.2884332835674286, 0.4363742768764496]","[0.8776686787605286, 0.9483482837677002, 0.19078756868839264, 0.9124028086662292, 0.8857224583625793]"
,CNN,0.7749699007295101,0.0004474457262377,"[0.3843865990638733, 0.7931899428367615, 0.7706349492073059, 0.7782960534095764, 0.8045320510864258, 0.8138020038604736, 0.847737193107605, 0.8821807503700256, 0.8849575519561768, 0.8200878500938416, 0.8791160583496094, 0.8873915076255798]","[0.20216089487075806, 0.6664931178092957, 0.6495704054832458, 0.6081749796867371, 0.6560791730880737, 0.6455349922180176, 0.7025514245033264, 0.7496745586395264, 0.7300181984901428, 0.6206716895103455, 0.7233793139457703, 0.7318406701087952]","[1.2553339004516602, 0.9080719947814941, 0.9386510252952576, 0.896016538143158, 0.8860446214675903, 0.7999870181083679, 0.7510266304016113, 0.6712799072265625, 0.6644419431686401, 1.2541882991790771, 0.763485848903656, 0.6942509412765503]","[0.3602225184440613, 0.8619237542152405, 0.8245850801467896, 0.8184908032417297, 0.7424445748329163, 0.7985823750495911, 0.7921473979949951, 0.8211752772331238, 0.7906835079193115, 0.667235255241394, 0.7481666207313538, 0.7635144591331482]"
,CNN,0.7749699007295101,0.0004474457262377,"[0.469951868057251, 0.6010111570358276, 0.7342659831047058, 0.8358665108680725, 0.8759585618972778, 0.8558098673820496, 0.8764243721961975, 0.896141529083252, 0.8463395237922668, 0.9455270171165466, 0.9051384329795837, 0.9301267266273499, 0.9274354577064514]","[0.05532413348555565, 0.5229107141494751, 0.542306661605835, 0.7268940210342407, 0.7358760833740234, 0.7330122590065002, 0.7129653692245483, 0.7496745586395264, 0.6497005820274353, 0.8039572834968567, 0.7512366771697998, 0.8152824640274048, 0.7809164524078369]","[1.1501684188842773, 1.144752860069275, 0.9245293736457825, 0.7898715734481812, 0.6916446089744568, 0.750584065914154, 0.6842123866081238, 0.6258591413497925, 0.8339214324951172, 0.4869840145111084, 0.6067366600036621, 0.5219538807868958, 0.5362375378608704]","[0.3055555522441864, 0.7312556505203247, 0.7780697345733643, 0.8273480534553528, 0.8187257647514343, 0.8095906972885132, 0.7775698304176331, 0.8118841648101807, 0.6831228733062744, 0.841308057308197, 0.7947183847427368, 0.8372092843055725, 0.8127540349960327]"
,CNN,0.7749699007295101,0.0004474457262377,"[0.5144221186637878, 0.7073561549186707, 0.672673761844635, 0.8135956525802612, 0.8436828851699829, 0.7811203598976135, 0.8824098110198975, 0.8125484585762024, 0.8575008511543274, 0.8915520310401917, 0.9028911590576172, 0.8867037296295166, 0.8473111987113953, 0.8946382403373718]","[0.4457172751426697, 0.5903410315513611, 0.5735485553741455, 0.7046341896057129, 0.7477219700813293, 0.6098672151565552, 0.7527987360954285, 0.6648008227348328, 0.7020307183265686, 0.742514967918396, 0.7673782706260681, 0.7317104935646057, 0.667664647102356, 0.7486331462860107]","[1.2142784595489502, 1.0085489749908447, 1.1141694784164429, 0.8453238010406494, 0.8063971996307373, 0.8857351541519165, 0.684176504611969, 0.8639790415763855, 0.7348491549491882, 0.6441681385040283, 0.615863025188446, 0.6769108176231384, 0.8099884390830994, 0.6469412446022034]","[0.18910741806030273, 0.7851834297180176, 0.6928017735481262, 0.8656957745552063, 0.8395348787307739, 0.7494760751724243, 0.8517550230026245, 0.7612936496734619, 0.7852950692176819, 0.8075506687164307, 0.8152856826782227, 0.7743499279022217, 0.7101702094078064, 0.7839909195899963]"
,CNN,0.5541905468952809,0.0008817170165347,"[0.6129205822944641, 0.8293488025665283, 0.7963072657585144, 0.8907783627510071, 0.8275901079177856, 0.9419969916343689, 0.9286781549453735, 0.896051824092865, 0.945029616355896, 0.8857661485671997, 0.9528525471687317, 0.9256751537322998, 0.9555007815361023, 0.8073923587799072, 0.9568232297897339, 0.969563901424408, 0.9513254165649414, 0.9529744386672974, 0.9524515271186829]","[0.4566519260406494, 0.7146576642990112, 0.6707888841629028, 0.7796146869659424, 0.7098411917686462, 0.8450924158096313, 0.8076021671295166, 0.7837802767753601, 0.8358500599861145, 0.7416037321090698, 0.8409268260002136, 0.784040629863739, 0.844701886177063, 0.7177818417549133, 0.8646185994148254, 0.8743816614151001, 0.8434001803398132, 0.8348086476325989, 0.8299921751022339]","[1.2972861528396606, 0.8263463973999023, 0.9263100028038025, 0.6668125987052917, 0.8348951935768127, 0.5695847868919373, 0.5443717241287231, 0.6345052719116211, 0.4709494411945343, 0.6662492752075195, 0.4283505380153656, 0.5822030305862427, 0.4270515739917755, 0.8918043971061707, 0.4069864749908447, 0.3508167266845703, 0.4583840072154999, 0.436955988407135, 0.5018085837364197]","[0.5246870517730713, 0.7798663973808289, 0.7784923315048218, 0.8665679693222046, 0.8221818208694458, 0.9080893397331238, 0.8821365833282471, 0.8379249572753906, 0.8745059370994568, 0.7827138304710388, 0.8816261887550354, 0.8089965581893921, 0.8633201718330383, 0.72721928358078, 0.8746823668479919, 0.8876072764396667, 0.8538472056388855, 0.8545504212379456, 0.8392099738121033]"
,CNN,0.5541905468952809,0.0008817170165347,"[0.8956941366195679, 0.8972611427307129, 0.8993886113166809, 0.8969098329544067, 0.9263118505477905, 0.9168380498886108, 0.9083938598632812, 0.8363314867019653]","[0.8191877007484436, 0.7699818015098572, 0.7934131622314453, 0.7882062196731567, 0.8251757621765137, 0.8096849918365479, 0.7902889847755432, 0.6603748798370361]","[0.7253169417381287, 0.6661723852157593, 0.6455451846122742, 0.6516582369804382, 0.5556662678718567, 0.5867122411727905, 0.6054271459579468, 0.8337462544441223]","[0.8772718906402588, 0.8387492299079895, 0.87331622838974, 0.8273504376411438, 0.8804976940155029, 0.8537149429321289, 0.8259987235069275, 0.7284417748451233]"
,CNN,0.5541905468952809,0.0008817170165347,"[0.7879141569137573, 0.7344264388084412, 0.7594007849693298, 0.7264672517776489, 0.8323445320129395, 0.8138892650604248, 0.7375853657722473, 0.9486888647079468, 0.9449688196182251, 0.9242103695869446, 0.9423394203186035, 0.9447670578956604]","[0.6353814005851746, 0.6351210474967957, 0.6503514647483826, 0.6217131018638611, 0.6780786514282227, 0.6192398071289062, 0.5993230938911438, 0.8336370587348938, 0.8208799958229065, 0.7853423357009888, 0.8066909909248352, 0.8344181180000305]","[1.018607258796692, 1.0221065282821655, 0.9800264835357666, 1.0148028135299683, 0.775161623954773, 0.8224136829376221, 0.9781409502029419, 0.4654887914657593, 0.4639427661895752, 0.5482479929924011, 0.4754318594932556, 0.46424299478530884]","[0.7100253701210022, 0.7009928226470947, 0.7870050668716431, 0.8524413704872131, 0.8821428418159485, 0.8519037961959839, 0.7833260893821716, 0.9179359674453735, 0.9048706293106079, 0.8416982889175415, 0.8543409109115601, 0.8647010326385498]"
,CNN,0.0091841897440634,0.0001895877943678,"[0.8452069163322449, 0.9093323349952698, 0.8758193254470825, 0.3389667570590973, 0.45151272416114807]","[0.7245509028434753, 0.7746680378913879, 0.7435563802719116, 0.19174693524837494, 0.3445717394351959]","[0.79591304063797, 0.5971593856811523, 0.7206218838691711, 1.7790226936340332, 1.9305452108383179]","[0.8201707601547241, 0.8011128306388855, 0.7948797941207886, 0.18724659085273743, 0.3346197009086609]"
